country_code,Country,Year,Population,female_population,Deaths,Female deaths,Female assaults deaths,Intentional female homicides,vic_intimate_violence,reported_offences_int_violence,men_perpetrators_int_violence,physical_violence,psychological_violence,sexual_violence,economic_violence,rape_victims,femicides,homicide_total,pct of femicides to female homicide victims,protection_orders,men_prosecuted_for_int_violence,men_sentenced,men_held_in_prison,Intentional female homicides_pct_change,vic_intimate_violence_pct_change,reported_offences_int_violence_pct_change,men_perpetrators_int_violence_pct_change,physical_violence_pct_change,psychological_violence_pct_change,sexual_violence_pct_change,economic_violence_pct_change,rape_victims_pct_change,femicides_pct_change,homicide_total_pct_change,protection_orders_pct_change,men_prosecuted_for_int_violence_pct_change,men_sentenced_pct_change,men_held_in_prison_pct_change,vic_intimate_violence_per_100000,physical_violence_per_100000,psychological_violence_per_100000,sexual_violence_per_100000,economic_violence_per_100000,rape_victims_per_100000,femicides_per_100000,homicide_total_per_100000,pct_sentenced_from_prosecuted,pct_prison_from_sentenced,pct_prison_from_prosecuted,Intentional female homicides_per_100000,comparable_countries_reported_offences,comparable_femicides_countries,comparable_femicides
IS,Iceland,2018,348450,170850.0,2192.0,1096.0,0.0,1.0,,,,,,,,,,,,,,,,-50.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,False,False,False
IS,Iceland,2019,356991,174154.0,2217.0,1102.0,0.0,0.0,,,,,,,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,False,False,False
IS,Iceland,2020,364134,177193.0,2265.0,1130.0,2.0,4.0,,,,,,,,,,,,,,,,inf,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,False,False,False
IS,Iceland,2021,368792,179749.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False
IS,Iceland,2022,376248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False
IE,Ireland,2011,4570881,,28456.0,13964.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False
IE,Ireland,2012,4589287,2315288.0,29186.0,14241.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False
IE,Ireland,2013,4609779,2326317.0,29501.0,14545.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False
IE,Ireland,2014,4637852,2342002.0,29252.0,14355.0,5.0,,,,,,,,,480.0,,,,13287.0,,,,,,,,,,,,,,,,,,,,,,,,20.5,,,,,,,False,False,False
IE,Ireland,2015,4677627,2364285.0,30127.0,14899.0,3.0,7.0,,,,,,,,518.0,,,,14374.0,,,,,,,,,,,,7.9,,,8.2,,,,,,,,,21.9,,,,,,0.3,False,False,False
IE,Ireland,2016,4726286,2387145.0,30667.0,15047.0,1.0,2.0,,,,,,,,513.0,,,,15227.0,,,,-71.4,,,,,,,,-1.0,,,5.9,,,,,,,,,21.5,,,,,,0.1,False,False,False
IE,Ireland,2017,4784383,2416465.0,30418.0,14929.0,3.0,15.0,,,,,,,,647.0,,,,15962.0,,,,650.0,,,,,,,,26.1,,,4.8,,,,,,,,,26.8,,,,,,0.6,False,False,False
IE,Ireland,2018,4830392,2438169.0,31140.0,15095.0,3.0,10.0,,,,,,,,,,,,,,,,-33.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,False,False,False
IE,Ireland,2019,4904240,2475359.0,31184.0,14912.0,2.0,8.0,,,,,,,,,,,,,,,,-20.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,False,False,False
IE,Ireland,2020,4964440,2506783.0,31765.0,15315.0,,6.0,,,,,,,,,,,,,,,,-25.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,False,False,False
IE,Ireland,2021,5006324,2528521.0,33055.0,15843.0,,8.0,,,,,,,,,,,,,,,,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,False,False,False
IE,Ireland,2022,5060005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False
IT,Italy,2011,59364690,,594153.0,305631.0,123.0,161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True
IT,Italy,2012,59394207,30667608.0,613520.0,317689.0,131.0,150.0,,,,,,,,,,,,,,,,-6.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,False,True,True
IT,Italy,2013,59685227,30795630.0,599698.0,309281.0,146.0,180.0,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,False,True,True
IT,Italy,2014,60782668,31298104.0,598669.0,308870.0,119.0,153.0,,9969.0,,,9125.0,,,2607.0,81.0,138.0,59.0,1526.0,18602.0,2264.0,,-15.0,,,,,,,,,,,,,,,,,29.2,,,8.3,0.3,0.4,12.2,,,0.5,False,True,True
IT,Italy,2015,60795612,31294022.0,646047.0,338656.0,112.0,143.0,,9945.0,,,8608.0,,,2455.0,73.0,138.0,53.0,1366.0,18446.0,2611.0,,-6.5,,-0.2,,,-5.7,,,-5.8,-9.9,0.0,-10.5,-0.8,15.3,,,,27.5,,,7.8,0.2,0.4,14.2,,,0.5,False,True,True
IT,Italy,2016,60665551,31209230.0,618083.0,320418.0,129.0,151.0,,9750.0,,,9098.0,,,2388.0,77.0,138.0,56.0,1461.0,19866.0,2746.0,,5.6,,-2.0,,,5.7,,,-2.7,5.5,0.0,7.0,7.7,5.2,,,,29.2,,,7.7,0.2,0.4,13.8,,,0.5,False,True,True
IT,Italy,2017,60589445,31143704.0,650614.0,340023.0,111.0,132.0,,9887.0,,,9986.0,,,2788.0,56.0,120.0,47.0,990.0,,2897.0,2018.0,-12.6,,1.4,,,9.8,,,16.8,-27.3,-13.0,-32.2,,5.5,,,,32.1,,,9.0,0.2,0.4,,69.7,,0.4,False,True,True
IT,Italy,2018,60483973,31056366.0,632940.0,329961.0,111.0,141.0,,,,,,,,,74.0,128.0,58.0,,,,,6.8,,,,,,,,,32.1,6.7,,,,,,,,,,,0.2,0.4,,,,0.5,False,True,True
IT,Italy,2019,59816673,30685478.0,641456.0,333897.0,91.0,111.0,,,,,,,,,68.0,111.0,61.0,,,,,-21.3,,,,,,,,,-8.1,-13.3,,,,,,,,,,,0.2,0.4,,,,0.4,False,True,True
IT,Italy,2020,59641488,30591392.0,740317.0,380899.0,,116.0,,,,,,,,,67.0,116.0,58.0,,,,,4.5,,,,,,,,,-1.5,4.5,,,,,,,,,,,0.2,0.4,,,,0.4,False,True,True
IT,Italy,2021,59236213,30369987.0,709035.0,,,119.0,,,,,,,,,70.0,119.0,59.0,,,,,2.6,,,,,,,,,4.5,2.6,,,,,,,,,,,0.2,0.4,,,,0.4,False,True,True
IT,Italy,2022,58983122,,530145.0,,,96.0,,,,,,,,,,,,,,,,-19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True
LV,Latvia,2011,2074605,,28614.0,14715.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True
LV,Latvia,2012,2044813,1110001.0,29120.0,15255.0,34.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,True,True,True
LV,Latvia,2013,2023825,1097245.0,28735.0,15200.0,34.0,24.0,,,,,,,,,,,,,,,,-35.1,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,True,True,True
LV,Latvia,2014,2001468,1084423.0,28257.0,14661.0,40.0,36.0,146.0,144.0,,58.0,20.0,3.0,71.0,39.0,6.0,68.0,9.0,,,,,50.0,,,,,,,,,,,,,,,13.5,5.3,1.8,0.3,6.5,3.6,0.6,6.3,,,,3.3,True,True,True
LV,Latvia,2015,1986096,1074889.0,28244.0,15046.0,30.0,29.0,161.0,158.0,,45.0,40.0,2.0,80.0,28.0,11.0,57.0,19.0,,,,,-19.4,10.3,9.7,,-22.4,100.0,-33.3,12.7,-28.2,83.3,-16.2,,,,,15.0,4.2,3.7,0.2,7.4,2.6,1.0,5.3,,,,2.7,True,True,True
LV,Latvia,2016,1968957,1064658.0,28263.0,14935.0,22.0,34.0,158.0,160.0,,47.0,46.0,2.0,74.0,26.0,5.0,55.0,9.0,,,,,17.2,-1.9,1.3,,4.4,15.0,0.0,-7.5,-7.1,-54.5,-3.5,,,,,14.8,4.4,4.3,0.2,7.0,2.4,0.5,5.2,,,,3.2,True,True,True
LV,Latvia,2017,1950116,1054433.0,28530.0,15063.0,23.0,42.0,162.0,169.0,,45.0,39.0,6.0,79.0,36.0,7.0,40.0,18.0,,,,,23.5,2.5,5.6,,-4.3,-15.2,200.0,6.8,38.5,40.0,-27.3,,,,,15.4,4.3,3.7,0.6,7.5,3.4,0.7,3.8,,,,4.0,True,True,True
LV,Latvia,2018,1934379,1044738.0,28576.0,15174.0,22.0,43.0,179.0,194.0,,56.0,51.0,4.0,81.0,33.0,8.0,56.0,14.0,,,,,2.4,10.5,14.8,,24.4,30.8,-33.3,2.5,-8.3,14.3,40.0,,,,,17.1,5.4,4.9,0.4,7.8,3.2,0.8,5.4,,,,4.1,True,True,True
LV,Latvia,2019,1919968,1035059.0,27536.0,14666.0,11.0,42.0,,,,,,,,,,,,,,,,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,True,True,True
LV,Latvia,2020,1907675,1026719.0,28628.0,15286.0,19.0,42.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,True,True,True
LV,Latvia,2021,1893223,1017998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True
LV,Latvia,2022,1875757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True
LT,Lithuania,2011,3052588,,40506.0,19933.0,47.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True
LT,Lithuania,2012,3003641,1620130.0,40478.0,20099.0,37.0,53.0,,,,,,,,,,,,,,,,-19.7,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,False,True,True
LT,Lithuania,2013,2971905,1603014.0,41057.0,20553.0,40.0,60.0,,,,,,,,,,,,,,,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,False,True,True
LT,Lithuania,2014,2943472,1587477.0,39765.0,19967.0,30.0,53.0,5527.0,,,4963.0,558.0,6.0,,55.0,15.0,51.0,29.0,490.0,,,,-11.7,,,,,,,,,,,,,,,348.2,312.6,35.2,0.4,,3.5,0.9,3.2,,,,3.3,False,True,True
LT,Lithuania,2015,2921262,1575005.0,41226.0,21060.0,41.0,49.0,5458.0,,,4986.0,468.0,4.0,,60.0,14.0,45.0,31.0,473.0,,,,-7.5,-1.2,,,0.5,-16.1,-33.3,,9.1,-6.7,-11.8,-3.5,,,,346.5,316.6,29.7,0.3,,3.8,0.9,2.9,,,,3.1,False,True,True
LT,Lithuania,2016,2888558,1558951.0,40627.0,20611.0,30.0,46.0,4436.0,,,3926.0,502.0,8.0,,92.0,7.0,29.0,24.0,98.0,,,,-6.1,-18.7,,,-21.3,7.3,100.0,,53.3,-50.0,-35.6,-79.3,,,,284.6,251.8,32.2,0.5,,5.9,0.4,1.9,,,,3.0,False,True,True
LT,Lithuania,2017,2847904,1535718.0,39654.0,20668.0,22.0,26.0,4429.0,,,3940.0,486.0,3.0,,81.0,3.0,22.0,14.0,547.0,5551.0,,,-43.5,-0.2,,,0.4,-3.2,-62.5,,-12.0,-57.1,-24.1,458.2,,,,288.4,256.6,31.6,0.2,,5.3,0.2,1.4,,,,1.7,False,True,True
LT,Lithuania,2018,2808901,1511608.0,39078.0,20376.0,12.0,17.0,3019.0,,,2807.0,206.0,6.0,,65.0,3.0,17.0,18.0,454.0,5065.0,2229.0,1062.0,-34.6,-31.8,,,-28.8,-57.6,100.0,,-19.8,0.0,-22.7,-17.0,-8.8,,,199.7,185.7,13.6,0.4,,4.3,0.2,1.1,44.0,47.6,21.0,1.1,False,True,True
LT,Lithuania,2019,2794184,1498593.0,37827.0,19615.0,16.0,22.0,,,,,,,,,,,,,,,,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,False,True,True
LT,Lithuania,2020,2794090,1489736.0,43056.0,22065.0,16.0,29.0,,,,,,,,,,,,,,,,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,False,True,True
LT,Lithuania,2021,2795680,1482082.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True
LT,Lithuania,2022,2805998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True
LU,Luxembourg,2011,511840,,3819.0,1931.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False
LU,Luxembourg,2012,524853,263033.0,3821.0,1965.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,False,False,False
LU,Luxembourg,2013,537039,268627.0,3768.0,1929.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,False,False,False
LU,Luxembourg,2014,549680,274563.0,3802.0,1814.0,2.0,2.0,,,,,,,,,,,,,,,,inf,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,False,False,False
LU,Luxembourg,2015,562958,280986.0,3936.0,1999.0,2.0,1.0,,,,,,,,,,,,,,,,-50.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,False,False,False
LU,Luxembourg,2016,576249,287056.0,3977.0,1951.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False
LU,Luxembourg,2017,590667,294026.0,4137.0,2075.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False
LU,Luxembourg,2018,602005,299425.0,4108.0,2043.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False
LU,Luxembourg,2019,613894,305174.0,4120.0,2034.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False
LU,Luxembourg,2020,626108,311144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False
LU,Luxembourg,2021,634730,315274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False
LU,Luxembourg,2022,645397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False
MT,Malta,2011,414989,,3318.0,1619.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False
MT,Malta,2012,417546,209851.0,3463.0,1686.0,2.0,3.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,False,True,False
MT,Malta,2013,422509,212126.0,3304.0,1612.0,,0.0,,,,,,,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,False,True,False
MT,Malta,2014,429424,214891.0,3326.0,1630.0,,1.0,717.0,1095.0,,1366.0,1473.0,120.0,292.0,11.0,1.0,1.0,100.0,,,,,inf,,,,,,,,,,,,,,,333.7,635.7,685.5,55.8,135.9,5.1,0.5,0.5,,,,0.5,False,True,False
MT,Malta,2015,439691,219203.0,3516.0,1725.0,2.0,2.0,942.0,1195.0,,1336.0,1468.0,101.0,284.0,23.0,1.0,2.0,50.0,,,,,100.0,31.4,9.1,,-2.2,-0.3,-15.8,-2.7,109.1,0.0,100.0,,,,,429.7,609.5,669.7,46.1,129.6,10.5,0.5,0.9,,,,0.9,False,True,False
MT,Malta,2016,450415,224019.0,3409.0,1709.0,2.0,2.0,638.0,812.0,,351.0,334.0,,,26.0,2.0,2.0,100.0,,,,,0.0,-32.3,-32.1,,-73.7,-77.2,,,13.0,100.0,0.0,,,,,284.8,156.7,149.1,,,11.6,0.9,0.9,,,,0.9,False,True,False
MT,Malta,2017,460297,228634.0,3628.0,1762.0,1.0,1.0,665.0,815.0,,360.0,344.0,,,19.0,0.0,1.0,0.0,,,,,-50.0,4.2,0.4,,2.6,3.0,,,-26.9,-100.0,-50.0,,,,,290.9,157.5,150.5,,,8.3,0.0,0.4,,,,0.4,False,True,False
MT,Malta,2018,475701,235102.0,3757.0,1838.0,4.0,4.0,666.0,839.0,,354.0,363.0,,,18.0,2.0,4.0,50.0,,,,,300.0,0.2,2.9,,-1.7,5.5,,,-5.3,inf,300.0,,,,,283.3,150.6,154.4,,,7.7,0.9,1.7,,,,1.7,False,True,False
MT,Malta,2019,493559,241723.0,3730.0,1827.0,2.0,3.0,,,,,,,,,,,,,,,,-25.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,False,True,False
MT,Malta,2020,514564,248802.0,,,,1.0,,,,,,,,,,,,,,,,-66.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,False,True,False
MT,Malta,2021,516100,249161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False
MT,Malta,2022,520971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False
NL,Netherlands,2011,16655799,,134962.0,70482.0,57.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True
NL,Netherlands,2012,16730348,8447477.0,140045.0,72906.0,51.0,50.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,False,True,True
NL,Netherlands,2013,16779575,8472236.0,141174.0,72885.0,57.0,56.0,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,False,True,True
NL,Netherlands,2014,16829289,8494904.0,138174.0,72102.0,31.0,30.0,,,,,,,,,16.0,31.0,52.0,,,,,-46.4,,,,,,,,,,,,,,,,,,,,,0.2,0.4,,,,0.4,False,True,True
NL,Netherlands,2015,16900726,8527868.0,146297.0,76105.0,46.0,42.0,,,,,,,,,23.0,43.0,53.0,,,,,40.0,,,,,,,,,43.8,38.7,,,,,,,,,,,0.3,0.5,,,,0.5,False,True,True
NL,Netherlands,2016,16979120,8561985.0,148129.0,76817.0,34.0,32.0,,,,,,,,,21.0,34.0,62.0,,,,,-23.8,,,,,,,,,-8.7,-20.9,,,,,,,,,,,0.2,0.4,,,,0.4,False,True,True
NL,Netherlands,2017,17081507,8606405.0,149477.0,77553.0,46.0,43.0,,,,,,,,,18.0,46.0,39.0,,,,,34.4,,,,,,,,,-14.3,35.3,,,,,,,,,,,0.2,0.5,,,,0.5,False,True,True
NL,Netherlands,2018,17181084,8654043.0,152652.0,78841.0,43.0,36.0,,,,,,,,,,,,,,,,-16.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,False,True,True
NL,Netherlands,2019,17282163,8701077.0,151013.0,77453.0,44.0,42.0,,,,,,,,,,,,,,,,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,False,True,True
NL,Netherlands,2020,17407585,8759554.0,168203.0,84361.0,44.0,44.0,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,False,True,True
NL,Netherlands,2021,17475415,8788879.0,,85203.0,,37.0,,,,,,,,,,,,,,,,-15.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,False,True,True
NL,Netherlands,2022,17590672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True
PL,Poland,2011,38062718,,376150.0,177541.0,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False
PL,Poland,2012,38063792,19636496.0,385456.0,182914.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False
PL,Poland,2013,38062535,19636442.0,387988.0,185852.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False
PL,Poland,2014,38017856,19613892.0,377182.0,180915.0,90.0,91.0,72786.0,,72791.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.1,,,,,,,,,,,0.5,False,False,False
PL,Poland,2015,38005614,19608451.0,395578.0,190668.0,88.0,108.0,69376.0,,70484.0,,,,,,,,,,,,,18.7,-4.7,,-3.2,,,,,,,,,,,,353.8,,,,,,,,,,,0.6,False,False,False
PL,Poland,2016,37967209,19590169.0,388677.0,186068.0,80.0,71.0,66930.0,,68321.0,,,,,752.0,,71.0,0.0,,,,,-34.3,-3.5,,-3.1,,,,,,,,,,,,341.7,,,,,3.8,,0.4,,,,0.4,False,False,False
PL,Poland,2017,37972964,19595127.0,403559.0,195391.0,73.0,94.0,67984.0,,70035.0,,,,,679.0,,192.0,0.0,,,,,32.4,1.6,,2.5,,,,,-9.7,,170.4,,,,,346.9,,,,,3.5,,1.0,,,,0.5,False,False,False
PL,Poland,2018,37976687,19596388.0,414941.0,200762.0,51.0,83.0,65057.0,,67306.0,,,,,,,168.0,0.0,,,,,-11.7,-4.3,,-3.9,,,,,,,-12.5,,,,,332.0,,,,,,,0.9,,,,0.4,False,False,False
